system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,ndvi_n,lst_n,ndbi_n,ndwi_n,tree_category,income_score,income_n,priority_score,water_ok
0,300.83194706996846,0.0803531465364734,0.3286546411670372,-0.4277850165572835,Z1,"{""type"":""Polygon"",""coordinates"":[[[77.48000214678166,12.850001073044492],[77.48000214678166,13.000000740732588],[77.4000014284863,13.000000803003784],[77.4000014284863,12.850001102732485],[77.48000214678166,12.850001073044492]]]}",bangalore_features,0.6110119497977354,0.5628220229348572,0.9345673749602155,0.20993883155355322,Medium,0.020584494295802447,0.9794155057041976,0.6724762450239101,False
1,300.26641238392926,0.0424607505111111,0.2822783623444083,-0.3496545459612368,Z2,"{""type"":""Polygon"",""coordinates"":[[[77.55999842006972,12.85000107433432],[77.55999842006972,13.000000801424106],[77.48000214678166,13.000000740732588],[77.48000214678166,12.850001073044492],[77.55999842006972,12.85000107433432]]]}",bangalore_features,0.5249313370358668,0.5436636953724615,0.8198874621036469,0.328293616429082,Medium,0.9699098521619943,0.030090147838005676,0.4746083099725953,True
2,300.7067866254519,0.0236737914096035,0.2589442697705588,-0.3108739323079528,Z3,"{""type"":""Polygon"",""coordinates"":[[[77.63999920457495,12.850001054279687],[77.63999920457495,13.00000076465603],[77.55999842006972,13.000000801424106],[77.55999842006972,12.85000107433432],[77.63999920457495,12.850001054279687]]]}",bangalore_features,0.48162012194935044,0.5585820269574274,0.7630294362570162,0.38703985398864,Medium,0.8324426408004217,0.16755735919957826,0.5044213720341558,True
3,302.0027379807855,0.0360499383334154,0.286440945394299,-0.3517566141971168,Z4,"{""type"":""Polygon"",""coordinates"":[[[77.71999989155216,12.85000108375014],[77.71999989155216,13.000000785778987],[77.63999920457495,13.00000076465603],[77.63999920457495,12.850001054279687],[77.71999989155216,12.85000108375014]]]}",bangalore_features,0.532657651192662,0.6024843041887323,0.8004853799184535,0.32510932953111155,Medium,0.21233911067827616,0.7876608893217238,0.6359178325883862,True
4,302.1636031852613,0.0478198106704569,0.3504680875890475,-0.4394491412160318,Z5,"{""type"":""Polygon"",""coordinates"":[[[77.80000068297257,12.850001120258645],[77.80000068297257,13.00000082264097],[77.71999989155216,13.000000785778987],[77.71999989155216,12.85000108375014],[77.80000068297257,12.850001120258645]]]}",bangalore_features,0.6515006410451804,0.6079338519473736,0.8361064563223164,0.19226960526813835,Medium,0.18182496720710062,0.8181750327928994,0.6263572851534028,False
5,300.60144306860974,0.0952348213518209,0.3354926581721609,-0.4504925266005044,Z6,"{""type"":""Polygon"",""coordinates"":[[[77.48000214678166,13.000000740732588],[77.48000214678166,13.150000506866125],[77.4000014284863,13.150000457617661],[77.4000014284863,13.000000803003784],[77.48000214678166,13.000000740732588]]]}",bangalore_features,0.6237042293169346,0.5550133574869394,0.979606204646297,0.1755406966681312,Medium,0.18340450985343382,0.8165954901465662,0.6443480296360992,False
6,300.1080352977841,0.0594454840822513,0.3002904597863246,-0.3917783777857501,Z7,"{""type"":""Polygon"",""coordinates"":[[[77.55999842006972,13.000000801424106],[77.55999842006972,13.150000513133332],[77.48000214678166,13.150000506866125],[77.48000214678166,13.000000740732588],[77.55999842006972,13.000000801424106]]]}",bangalore_features,0.5583642131589527,0.5382984363182427,0.871291120096841,0.2644829543955746,Medium,0.3042422429595377,0.6957577570404623,0.610462269114936,False
7,301.59116472507066,0.0351033294296963,0.2815159618888038,-0.3571865842549157,Z8,"{""type"":""Polygon"",""coordinates"":[[[77.63999920457495,13.00000076465603],[77.63999920457495,13.150000519106014],[77.55999842006972,13.150000513133332],[77.55999842006972,13.000000801424106],[77.63999920457495,13.00000076465603]]]}",bangalore_features,0.523516219220154,0.5885416487803945,0.7976205036378643,0.316883819903836,Medium,0.5247564316322378,0.47524356836776216,0.5730839536579009,True
8,303.26824080227624,0.0602110463186273,0.3004816634646335,-0.3931958239352169,Z9,"{""type"":""Polygon"",""coordinates"":[[[77.71999989155216,13.000000785778987],[77.71999989155216,13.150000505795262],[77.63999920457495,13.150000519106014],[77.63999920457495,13.00000076465603],[77.71999989155216,13.000000785778987]]]}",bangalore_features,0.5587191129096226,0.6453550921063711,0.8736080654411027,0.2623357571137336,Medium,0.43194501864211576,0.5680549813578842,0.612141669530075,False
9,303.544062547243,0.0592373786972824,0.3399752958837583,-0.4343120498085404,Z10,"{""type"":""Polygon"",""coordinates"":[[[77.80000068297257,13.00000082264097],[77.80000068297257,13.150000517730827],[77.71999989155216,13.150000505795262],[77.71999989155216,13.000000785778987],[77.80000068297257,13.00000082264097]]]}",bangalore_features,0.6320246079846488,0.6546989634361994,0.870661296968284,0.20005145201475627,Medium,0.2912291401980419,0.7087708598019581,0.6264155797678138,False
